Nombre,Localidad,Calidad,Teléfono,Dirección,Email,WEB,Postal Code,Tipo de Restauración,Coordenadas GPS,LATWGS84,LONWGS84,tag1,tag2,tag3
García de Olano,Páganos,0.0,945 621 146,"Carretera de Laguardia-Vitoria, s/n",info@garciadeolano.com,http://www.bodegasgarciadeolano.com,1309.0,Bodega,"42.56959622840991,-2.6816511154174805",42.56959622840991,-2.6816511154174805,gastronomia,comercio_local,moderno
Eguren Ugarte,Páganos,0.0,945 600 766,Carretera A-124 (km. 61),info@egurenugarte.com,http://www.egurenugarte.com,1309.0,Bodega,"42.56971079740783,-2.6142042875289917",42.56971079740783,-2.614204287528992,gastronomia,comercio_local,moderno
Herederos Bello Berganzo,Samaniego,0.0,945 609 299,"Buencerrada, 4",info@bodegabelloberganzo.com,https://bodegabelloberganzo.com/,1307.0,Bodega,"42.56954882048715,-2.6833248138427734",42.56954882048715,-2.683324813842773,gastronomia,comercio_local,tradicional
Hnos. Frías del Val,Villabuena de Álava/Eskuernaga,0.0,656 782 712,"C/ Herrerías, 79",info@friasdelval.com,http://www.friasdelval.com/,1307.0,Bodega,"42.54350062183011,-2.663412094116211",42.54350062183011,-2.663412094116211,gastronomia,tradicional,comercio_local
Bodegas Juan José García Berrueco,Villabuena de Álava/Eskuernaga,0.0,945 609 119,"C/ Santamaría, 36",bodegb@hotmail.com,,1307.0,Bodega,"42.54467049496664,-2.6653432846069336",42.54467049496664,-2.6653432846069336,gastronomia,tradicional,comercio_local
Laukote,Laguardia,0.0,945 600 815,"Ctra. de Elvillar, s/n. Polígono 7 - Pabellón 32 (Bodega)<br/>C/ Sancho Abarca, 30, 1-G (Oficinas)",laukotesc@yahoo.es,http://www.bodegaslaukote.com/,1300.0,Bodega,"42.563195832927384,-2.5714874267578125",42.56319583292738,-2.5714874267578125,gastronomia,tradicional,comercio_local
Loli Casado,Lapuebla de Labarca,0.0,678 041 484,"Avda. de la Póveda, 46",loli@bodegaslolicasado.com,https://bodegaslolicasado.com/,1306.0,Bodega,"42.49001086345522,-2.579641342163086",42.49001086345522,-2.579641342163086,gastronomia,tradicional,comercio_local
Luberri-Monje Amestoy,Elciego,0.0,945 606 010,"Camino de Rehoyos, s/n",luberri@luberri.com,http://www.luberri.com,1340.0,Bodega,"42.5030801,-2.6802927",42.5030801,-2.6802927,gastronomia,moderno,cultura
Luis A. Casado Manzanos JILABA,Lapuebla de Labarca,0.0,945 627 256,"Calle Nueva, 17",bodega@jilaba.es,http://www.jilaba.es,1306.0,Bodega,"42.495042305908434,-2.57753849029541",42.495042305908434,-2.57753849029541,gastronomia,tradicional,comercio_local
Bodegas Luis Alegre,Laguardia,0.0,945 600 089,"Ctra. Navaridas, s/n",luisalegre@bodegasluisalegre.com,http://luisalegre.com/,1300.0,Bodega,"42.55213187263678,-2.5883102416992188",42.55213187263678,-2.5883102416992188,gastronomia,tradicional,comercio_local
Miguel Angel Muro y Otros,Lapuebla de Labarca,0.0,945 607 081,"Avda. Gasteiz, 29",info@bodegasmiguelangelmuro.com,,1306.0,Bodega,"42.495706805783676,-2.573075294494629",42.49570680578368,-2.573075294494629,gastronomia,tradicional,comercio_local
Pascual Larrieta,Samaniego,0.0,945 609 059,"Camino Santa Lucía, 5",info@pascuallarrieta.com,http://www.pascuallarrieta.com/,1307.0,Bodega,"42.568569048682726,-2.6740550994873047",42.568569048682726,-2.6740550994873047,gastronomia,tradicional,comercio_local
Marqués de Riscal,Elciego,0.0,945 606 000,"Torrea, 1",marquesderiscal@marquesderiscal.com,https://www.marquesderiscal.com/,1340.0,Bodega,"42.511180401282935,-2.6174460733434444",42.511180401282935,-2.6174460733434444,gastronomia,moderno,cultura
Mitarte,Labastida/Bastida,0.0,945 331 069,"Avda. La Rioja, 7 / El Cortijo",bodegas@mitarte.com,http://www.mitarte.com/,1330.0,Bodega,"42.5902152578146,-2.7970504760742188",42.5902152578146,-2.7970504760742188,gastronomia,tradicional,comercio_local
Ostatu,Samaniego,0.0,945 609 133,"Ctra. Vitoria-Logroño, 1",comunicacion@ostatu.com,https://www.ostatu.com/,1307.0,Bodega,"42.56705195230002,-2.6849985122680664",42.56705195230002,-2.6849985122680664,gastronomia,tradicional,comercio_local
Palacio,Laguardia,0.0,945 600 057,"San Lázaro, 1",antiguabodega@cosmepalacio.com,http://www.bodegaspalacio.es/,1300.0,Bodega,"42.54862260694341,-2.5867223739624023",42.54862260694341,-2.5867223739624023,gastronomia,tradicional,comercio_local
Primicia,Laguardia,0.0,945 600 296,"Camino de la Hoya, 1",bodegasprimicia@bodegasprimicia.com,http://www.bodegascasaprimicia.com/,1300.0,Bodega,"42.55456201662738,-2.5843122018524127",42.55456201662738,-2.5843122018524127,gastronomia,tradicional,comercio_local
Ruiz de Viñaspre,Laguardia,0.0,945 600 626,"Camino de La Hoya, s/n",info@bodegaruizdevinaspre.com,http://www.bodegaruizdevinaspre.com,1300.0,Bodega,"42.57040215758403,-2.5855636596679688",42.57040215758403,-2.5855636596679688,gastronomia,tradicional,comercio_local
Torre de Oña,Páganos,0.0,945 621 154,Finca San Martín,info@torredeona.com,http://www.torredeona.com/,1307.0,Bodega,"42.55393899459197,-2.5835663882216977",42.55393899459197,-2.5835663882216977,gastronomia,tradicional,comercio_local
Valdelana,Elciego,0.0,945 606 055,"C/ Puente Barricuelo, 67-69",enoturismo@bodegasvaldelana.com,https://www.bodegasvaldelana.com/,1340.0,Bodega,"42.51414386070099,-2.615797519683838",42.51414386070099,-2.615797519683838,gastronomia,tradicional,comercio_local
Virgen de Lorea,Otxaran | Ocharan de Abajo,0.0,946 671 871,Barrio de Lorea,info@bodegasvirgendelorea.com,https://www.bodegasvirgendelorea.com/,48060.0,Bodega Txakoli,"43.2202024550287,-3.156539424792486",43.2202024550287,-3.156539424792486,gastronomia,euskaldun,tradicional
Ysios,Laguardia,0.0,945 600 640,"Camino de la Hoya, s/n",visitas.ysios@pernod-ricard.com,http://www.ysios.com/,1300.0,Bodega,"42.56848111,-2.59100555",42.56848111,-2.59100555,gastronomia,moderno,cultura
De Luis R.,Lanciego/Lantziego,0.0,945 608 022,"Camino de Elvillar, 22",dluisr@bodegasdeluisr.com,http://www.bodegasdeluisr.com,1308.0,Bodega,"42.562879746999684,-2.516512870788574",42.56287974699968,-2.516512870788574,gastronomia,tradicional,comercio_local
Bodegas Casado Morales,Lapuebla de Labarca,0.0,945 607 017,"Avda. de la Póveda, 12-14",info@casadomorales.es,https://www.casadomorales.es/,1306.0,Bodega,"42.4919095685361,-2.5765514373779297",42.4919095685361,-2.5765514373779297,gastronomia,comercio_local,tradicional
Bodegón Alejandro,Donostia / San Sebastián,0.0,943 427 158,"Fermín Calbetón, 4",info@bodegonalejandro.com,https://www.bodegonalejandro.com/,20003.0,Restaurante,"43.32364662815975,-1.9833244361763036",43.32364662815975,-1.983324436176304,gastronomia,tradicional,indoor
Boliña,Gernika-Lumo,0.0,946 250 300,"Barrenkale, 3",reservas@hotelbolina.es,https://www.hotelbolina.com/,48300.0,Restaurante,"43.31505089359146,-2.6775049097869896",43.31505089359146,-2.6775049097869896,gastronomia,cultura,tradicional
Boroa,Amorebieta,0.0,946 734 747,"Boroa Auzoa. Caserío Garai, 11",boroa@boroa.com,https://www.boroa.com/,48340.0,Restaurante,"43.24060966599207,-2.7529740846557593",43.24060966599207,-2.75297408465576,gastronomia,moderno,indoor
Casa Cámara,Pasai Donibane,0.0,943 523 699,"San Juan, 79",reservas@casacamara.com,https://www.casacamara.com/,20110.0,Restaurante,"43.32660183301518,-1.9199864291831545",43.32660183301518,-1.9199864291831543,gastronomia,tradicional,terraceo
Casa Urola,Donostia / San Sebastián,0.0,943 441 371,"Fermín Calbetón, 20",info@casaurolajatetxea.es,https://casaurolajatetxea.es/,20003.0,Restaurante,"43.3235403688984,-1.9846194890490096",43.3235403688984,-1.9846194890490096,gastronomia,moderno,indoor
El Mirador Castillo El Collado,Laguardia,0.0,945 621 200,"Pº El Collado, 1",hotel@hotelcollado.com,https://hotelcollado.com,1300.0,Restaurante,"42.55572069999999,-2.5849726000000146",42.55572069999999,-2.5849726000000146,gastronomia,rooftop,
Chalcha,Eibar,0.0,943 201 126,"Isasi, 7",xumuxua@xumuxua.com,,20600.0,Restaurante,"43.18379656,-2.47409919",43.18379656,-2.47409919,gastronomia,moderno,indoor
Conde de Álava,Vitoria-Gasteiz,0.0,945 225 040,"Cruz Blanca, 8",info@condedealava.com,http://www.condedealava.com/,1012.0,Restaurante,"42.85280473,-2.67971318",42.85280473,-2.67971318,gastronomia,tradicional,indoor
Egaña,Lekeitio,0.0,946 840 103,"Antiguako Ama, 2",info@eganarestaurante.com,https://www.eganarestaurante.com/,48280.0,Restaurante,"43.36611531085625,-2.503588773942571",43.36611531085625,-2.503588773942571,gastronomia,moderno,terraceo
Zumeltzegi,Donostia / San Sebastián,0.0,943 970 153,"Fermín Calbetón, 15",,http://www.restaurantezumeltzegidonostia.com,20003.0,Restaurante,"43.32329456,-1.98430013",43.32329456,-1.98430013,gastronomia,moderno,indoor
Bodega Txakoli Uriarte,,0.0,946 153 140,"Eguzkitza Baserria, Fika",info@txakoli-uriarte.com,,48113.0,Bodega Txakoli,"43.3062290097583,-2.8085591619018313",43.3062290097583,-2.808559161901832,gastronomia,comercio_local,tradicional
Eizaguirre,Zarautz,0.0,943 130 303,"Camino de Azpeitia, 18",roke@eizaguirretxakoli.com,http://www.eizaguirretxakoli.com/,20800.0,Bodega Txakoli,"43.2830948,-2.184720299999981",43.2830948,-2.184720299999981,gastronomia,comercio_local,tradicional
El Medoc Alavés,Laguardia,0.0,945 600 560,"Pº San Raimundo, 15",reservas@hotelvilladelaguardia.com,https://www.hotelvilladelaguardia.com,1300.0,Restaurante,"42.549036960984246,-2.580686014819321",42.549036960984246,-2.580686014819321,gastronomia,moderno,indoor
El Portalón,Vitoria-Gasteiz,0.0,945 142 755,"Correría, 147-149",oficina@restauranteelportalon.com,https://www.restauranteelportalon.com/,1001.0,Restaurante,"42.8515827,-2.673093999999992",42.8515827,-2.673093999999992,gastronomia,tradicional,cultura
El Refor,Amurrio,0.0,945 393 314,"Maskuribai, 21",info@elrefor.com,http://www.elrefor.com/,1470.0,Asador,"43.046627,-2.999673",43.046627,-2.999673,gastronomia,tradicional,indoor
El Txakoli,Amurrio,0.0,945 890 703,"Aldai, 40",,,1470.0,Bodega Txakoli,"43.0491636,-3.0038902000000007",43.0491636,-3.0038902000000007,gastronomia,comercio_local,tradicional
Elkano,Getaria,0.0,943 140 024,"Herrerieta, 2",info@restauranteelkano.com,https://www.restauranteelkano.com/,20808.0,Restaurante,"43.30299777,-2.20505178",43.30299777,-2.20505178,gastronomia,terraceo,moderno
Embarcadero,Areeta/Las Arenas,0.0,944 803 100,"Avda. Zugazarte, 51",info@hotelembarcadero.com,https://hotelembarcadero.com/restaurante-arenas-getxo/,48930.0,Restaurante,"43.33293296,-3.01183538",43.33293296,-3.01183538,gastronomia,moderno,terraceo
Eneperi,Gibelorratzagako San Pelaio,0.0,946 194 065,"Gibelorratzagako San Pelaio, 80",eneperi@eneperi.com,https://eneperi.com/es/,48130.0,Restaurante,"43.44092038172961,-2.7835274046936043",43.44092038172961,-2.7835274046936043,gastronomia,tradicional,indoor
Ermintxo,Natxitua,0.0,946 277 700,"Bº Elejalde, 14",ermintxo@hotelermintxo.com,https://www.hotelermintxo.com/,48311.0,Restaurante,"43.381769271838294,-2.6138342398811476",43.38176927183829,-2.613834239881148,gastronomia,tradicional,euskaldun
Eskarne,Eibar,0.0,943 121 650,"Arragueta, 4",info@restauranteeskarne.com,,20600.0,Restaurante,"43.18590599,-2.46539073",43.18590599,-2.46539073,gastronomia,tradicional,euskaldun
Atelier Etxanobe,Bilbao,0.0,944 421 071,"Juan Ajuriaguerra, 8",etxanobe@etxanobe.com,https://atelieretxanobe.com/,48009.0,Restaurante,"43.265529480046936,-2.9314387533729587",43.265529480046936,-2.9314387533729587,gastronomia,moderno,indoor
Etxe-Berri,Zumarraga,0.0,943 721 211,"Bº Etxeberri, s/n",hoteletxeberri@etxeberri.com,http://www.etxeberri.com,20700.0,Restaurante,"43.09930358,-2.31640222",43.09930358,-2.31640222,gastronomia,tradicional,euskaldun
Fagollaga,Ereñotzu,0.0,943 550 031,"Ereñozu auzoa, 68",fagollaga@fagollaga.com,https://www.fagollaga.com/,20120.0,Restaurante,"43.24848426,-1.95158458",43.24848426,-1.95158458,gastronomia,tradicional,outdoor
Gaintza,San Prudentzio,0.0,943 140 032,"Barrio San Prudentzio, 26 (Carretera Meagas)",info@gaintza.com,http://gaintza.com/,20808.0,Bodega Txakoli,"43.302930174513406,-2.2104567724913977",43.302930174513406,-2.2104567724913977,gastronomia,comercio_local,outdoor
Gaminiz,Geldo,0.0,944 317 025,"Ibaizabal, 212. Parque Científico y Tecnológico de Bizkaia",asier@gaminiz.com,http://www.gaminiz.com,48170.0,Restaurante,"43.29372709,-2.86138949",43.29372709,-2.86138949,gastronomia,,chill
Gaztañaga,Basozabal,0.0,688 762 672,"Txorierri Etorbidea, 34",restaurantegaztanagasondika@gmail.com,,48150.0,Restaurante,"43.299221,-2.9255810846557706",43.299221,-2.9255810846557706,gastronomia,tradicional,outdoor
González Teso,Labastida/Bastida,0.0,945 331 321,"C/ El Olmo, 34-36 (Bodega)<br/>C/ Doctor Castillo, 8 (Oficina)",info@gontes.com,http://www.gontes.com,1330.0,Bodega,"42.5920426,-2.7944952",42.5920426,-2.7944952,gastronomia,comercio_local,cultura
Doniene Gorrondona Txakolina,,0.0,946 194 795,"Gibelorratzagako San Pelaio, 1",bixitak@donienegorrondona.com,https://www.donienegorrondona.com/,48130.0,Bodega Txakoli,"43.42358836134667,-2.807214485705572",43.42358836134667,-2.807214485705572,gastronomia,comercio_local,outdoor
Gotzon,,0.0,946 194 043,"Luzarragako bidea, 2",info@gotzonjatetxea.com,https://www.gotzonjatetxea.com/,48130.0,Restaurante,"43.42984597,-2.80319907",43.42984597,-2.80319907,gastronomia,moderno,indoor
Gran Sol,,0.0,943 642 701,"San Pedro, 63",info@bargransol.com,https://www.bargransol.com/,20280.0,Restaurante,"43.36857423,-1.79424299",43.36857423,-1.79424299,gastronomia,,indoor
Granja Nuestra Señora de Remelluri,Labastida/Bastida,0.0,945 331 801,"Ctra. Rivas de Tereso, s/n",info@remelluri.com,http://www.remelluri.com,1330.0,Bodega,"42.588515,-2.78891",42.588515,-2.78891,gastronomia,cultura,comercio_local
Guetaria,Bilbao,1.0,944 243 923,"Colón de Larreategui, 12",,http://www.guetaria.com,48001.0,Asador,"43.26309562,-2.92998687",43.26309562,-2.92998687,gastronomia,tradicional,animado
Gure Ahaleginak,,0.0,658 744 181,"Barrio Ibazurra, 1",maitedurana@gureahaleginak.com,https://gureahaleginak.com/,48460.0,Bodega Txakoli,"42.9975696457671,-2.9997718334198",42.9975696457671,-2.9997718334198,gastronomia,comercio_local,outdoor
Gure Ametsa,Leintz-Gatzaga,0.0,943 714 952,"Alto de Arlaban, s/n",contacto@gureametsa.es,http://www.gureametsa.es/,20530.0,Restaurante,"42.97419116,-2.57509627",42.97419116,-2.57509627,gastronomia,euskaldun,chill
Gure Txokoa,Zarautz,0.0,943 835 959,"Gipuzkoa, 22",info@restauranteguretxokoa.es,https://www.restauranteguretxokoa.es/?lang=es,20800.0,Restaurante,"43.28540993,-2.17224676",43.28540993,-2.17224676,gastronomia,terraceo,animado
Horma Ondo,,0.0,946 565 700,"Caserío Legina-Goikoa, Barrio Legina-Goikoa",info@asadorhormaondo.com,https://hormaondo.com/,48190.0,Restaurante,"43.253597325808315,-2.821065499658173",43.25359732580832,-2.821065499658173,gastronomia,moderno,indoor
Héctor Oribe,Páganos,0.0,945 600 715,"Gasteiz, 5",hectororibe@hotmail.com,http://www.hectororibe.es/,1309.0,Restaurante,"42.5586209,-2.6047305",42.5586209,-2.6047305,gastronomia,moderno,cultura
Iribar,Getaria,0.0,943 140 406,"Nagusia, 34",iribar@iribar.com,https://iribargetaria.com/,20808.0,Restaurante,"43.30419674,-2.20363368",43.30419674,-2.20363368,gastronomia,tradicional,outdoor
Gorka Izagirre,,0.0,606 206 651,"Barrio Legina, s/n<br/>",txakoli@gorkaizagirre.com,https://www.gorkaizagirre.com/,48195.0,Bodega Txakoli,"43.260693485522665,-2.8143187735550024",43.260693485522665,-2.8143187735550024,gastronomia,tradicional,comercio_local
Izkiña,Pasai San Pedro,0.0,943 399 043,"Euskadi etorbidea, 19",izkinapasai@gmail.com,https://www.restauranteizkina.com/es/,20110.0,Restaurante,"43.322869011454195,-1.934598574205022",43.3228690114542,-1.934598574205022,gastronomia,tradicional,terraceo
Jauregia,Bilbao,1.0,944 035 151,"Avda. Abandoibarra, 4 (Palacio Euskalduna)",info@jauregia.com,http://www.jauregia.com,48011.0,Restaurante,"43.266618426238715,-2.9442633698364418",43.26661842623872,-2.9442633698364418,gastronomia,moderno,cultura
Joseba,Azkoitia,0.0,943 853 412,"Aizkibel, 10",josebajatetxea@hotmail.com,http://www.josebajatetxea.com/,20720.0,Restaurante,"43.17888163,-2.31244801",43.17888163,-2.31244801,gastronomia,euskaldun,tradicional
Juanito Kojua,Donostia / San Sebastián,0.0,943 420 180,"Puerto, 14",kojua@juanitokojua.com,https://grupogarrancho.com/es/,20003.0,Restaurante,"43.32346916,-1.98604888",43.32346916,-1.98604888,gastronomia,tradicional,euskaldun
Kabia,Zumarraga,0.0,943 726 274,"Legazpi, 7",kabia@restaurantekabia.com,https://restaurantekabia.com/,20700.0,Restaurante,"43.0895803,-2.3157247000000325",43.0895803,-2.3157247000000325,gastronomia,tradicional,comercio_local
Kaian,Plentzia,0.0,946 775 470,"Areatza, 38",kaian@panaiv.com,http://www.kaianplentzia.com,48620.0,Restaurante,"43.40705224,-2.94529036",43.40705224,-2.94529036,gastronomia,terraceo,moderno
Karlos Arguiñano,Zarautz,0.0,943 130 000,"Mendilauta, 13",kahotel@karlosnet.com,http://www.hotelka.com,20800.0,Restaurante,"43.28808581,-2.16304242",43.28808581,-2.16304242,gastronomia,moderno,deporte
Kate Zaharra,Bilbao,0.0,944 461 347,Zabalbide 221. Artxanda,reservas@kate-zaharra.com,http://www.kate-zaharra.com,48015.0,Restaurante,"43.26492808869982,-2.9083698778851264",43.26492808869982,-2.9083698778851264,gastronomia,tradicional,cultura
Kiruri,Loiola,0.0,943 815 608,"Barrio Loiola, 23",kiruri2020@gmail.com,http://www.kiruri.com,20730.0,Restaurante,"43.17632988415008,-2.2817474487182543",43.17632988415008,-2.2817474487182543,gastronomia,tradicional,comercio_local
